census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2022,22,102103,102103,487-503 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Bonnie Coffee Brewers,"Shop 5, 495 Collins Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,12,144.95811744965,-37.81853994654838,"-37.81853994654838, 144.95811744965"
2022,22,705123,102104,Podium Rialto 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sensory Lab,"Shop 9, Podium 525 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,5,144.95747025505,-37.81866072318769,"-37.81866072318769, 144.95747025505"
2022,22,705123,102104,Podium Rialto 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Rustica,"Shop 11, Podium 525 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,20,144.95747025505,-37.81866072318769,"-37.81866072318769, 144.95747025505"
2022,22,705123,102104,Podium Rialto 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sensory Lab,"Shop 9, Podium 525 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,15,144.95747025505,-37.81866072318769,"-37.81866072318769, 144.95747025505"
2022,22,705127,102104,South Tower Rialto 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Vue de monde / The Lui Bar,Level 55S 525 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,30,144.95747025505,-37.81866072318769,"-37.81866072318769, 144.95747025505"
2022,22,110092,110092,35-47 William Street MELBOURNE VIC 3000,Melbourne (CBD),@  Cafe 45,Part Ground 45 William Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,25,144.95913953984214,-37.81857938464999,"-37.81857938464999, 144.95913953984214"
2022,23,102095,102095,401-403 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Natural History Public Bar,Part Ground 401 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,150,144.96121110745,-37.817379248719035,"-37.817379248719035, 144.96121110745"
2022,23,708083,102100,408 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Warabi,Part Ground 408 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.95989716728047,-37.81802291835,"-37.81802291835, 144.95989716728047"
2022,23,708083,102100,408 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Culprit,Part Ground 408 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,56,144.95989716728047,-37.81802291835,"-37.81802291835, 144.95989716728047"
2022,23,106437,106437,42-52 Market Street MELBOURNE VIC 3000,Melbourne (CBD),I Arepa,"Unit 1, Ground 50 Market Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,38,144.96081898490002,-37.818045837071224,"-37.818045837071224, 144.96081898490002"
2022,24,102089,102089,327-343 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Strozzi Restaurant,Part Ground 333 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,82,144.9632685535,-37.817049064147554,"-37.817049064147554, 144.9632685535"
2022,24,102091,102091,351-357 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),O-Bento,"Tenancy 8, 1 Fulham Place MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.96279108305,-37.81729659038814,"-37.81729659038814, 144.96279108305"
2022,24,102091,102091,351-357 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Vapiano,"Tenancy 3-5, 332-340 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,250,144.96279108305,-37.81729659038814,"-37.81729659038814, 144.96279108305"
2022,24,102091,102091,351-357 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),O-Bento,"Tenancy 8, 1 Fulham Place MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,8,144.96279108305,-37.81729659038814,"-37.81729659038814, 144.96279108305"
2022,24,103175,103175,59-65 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Dropout Chai Wala,Shop Ground 59 Elizabeth Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,8,144.96406922956277,-37.81683945895,"-37.81683945895, 144.96406922956277"
2022,24,110762,110762,303-317 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),St Collins Speciality Coffe,Lobby & Part Ground 303 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,34,144.9638236074097,-37.81662771655,"-37.81662771655, 144.9638236074097"
